author,director,ranks,title
Kasi Lemmons’s Top10,Joseph L. Mankiewicz,1,All About Eve
Kasi Lemmons’s Top10,Bob Fosse,2,All That Jazz
Kasi Lemmons’s Top10,Marcel Camus,3,Black Orpheus
Kasi Lemmons’s Top10,Nicolas Roeg,4,Don’t Look Now
Kasi Lemmons’s Top10,Spike Lee,5,Do the Right Thing
Kasi Lemmons’s Top10,Andrea Arnold,6,Fish Tank
Kasi Lemmons’s Top10,Mike Nichols,7,The Graduate
Kasi Lemmons’s Top10,Hal Ashby,8,Harold and Maude
Kasi Lemmons’s Top10,Roman Polanski,9,Rosemary’s Baby
Kasi Lemmons’s Top10,Costa-Gavras,10,Z
Jack Reynor’s Top10,Kenji Mizoguchi,1,Ugetsu
Jack Reynor’s Top10,Masaki Kobayashi,2,Kwaidan
Jack Reynor’s Top10,Nagisa Oshima,3,Empire of Passion
Jack Reynor’s Top10,Michael Powell,4,Peeping Tom
Jack Reynor’s Top10,Stanley Kubrick,5,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb"
Jack Reynor’s Top10,Roman Polanski,6,Cul-de-sac
Jack Reynor’s Top10,Ingmar Bergman,7,Hour of the Wolf
Jack Reynor’s Top10,Ken Russell,8,Women in Love
Jack Reynor’s Top10,Andrei Tarkovsky,9,Stalker
Jack Reynor’s Top10,George Sluizer,10,The Vanishing
Carlos Reygadas’s Top10,Paul Verhoeven,1,RoboCop
Carlos Reygadas’s Top10,Luis Buñuel,2,The Discreet Charm of the Bourgeoisie
Carlos Reygadas’s Top10,Jacques Tati,3,Mon oncle
Carlos Reygadas’s Top10,Carl Th. Dreyer,4,Gertrud
Carlos Reygadas’s Top10,Maurice Pialat,5,À nos amours
Carlos Reygadas’s Top10,Jean-Pierre Melville,6,Army of Shadows
Carlos Reygadas’s Top10,Jean-Pierre Melville,6,Le silence de la mer
Carlos Reygadas’s Top10,Louis Malle,7,The Fire Within
Carlos Reygadas’s Top10,Bob Rafelson,8,Five Easy Pieces
Carlos Reygadas’s Top10,Brian  De Palma,9,Blow Out
Carlos Reygadas’s Top10,Bruno Dumont,10,La vie de Jésus
Carlos Reygadas’s Top10,Bruno Dumont,10,L’humanité
Dennis Lim’s Top10,Jean Rouch and Edgar Morin,1,Chronicle of a Summer
Dennis Lim’s Top10,Abbas Kiarostami,1,Close-up
Dennis Lim’s Top10,John Cassavetes,2,Love Streams
Dennis Lim’s Top10,Paul Thomas Anderson,2,Punch-Drunk Love
Dennis Lim’s Top10,Hollis Frampton,3,A Hollis Frampton Odyssey
Dennis Lim’s Top10,Chantal Akerman,3,News from Home
Dennis Lim’s Top10,Luis Buñuel,4,The Exterminating Angel
Dennis Lim’s Top10,Lucrecia Martel,4,La Ciénaga
Dennis Lim’s Top10,Nagisa Oshima,5,Death by Hanging
Dennis Lim’s Top10,Rainer Werner Fassbinder,5,Ali: Fear Eats the Soul
Dennis Lim’s Top10,Yasujiro Ozu,6,Late Spring
Dennis Lim’s Top10,Pedro Costa,6,Colossal Youth
Dennis Lim’s Top10,Nicholas Ray,7,Bigger Than Life
Dennis Lim’s Top10,David Lynch,7,Blue Velvet
Dennis Lim’s Top10,Michelangelo Antonioni,8,Red Desert
Dennis Lim’s Top10,Todd Haynes,8,Safe
Dennis Lim’s Top10,William Greaves,9,Symbiopsychotaxiplasm
Dennis Lim’s Top10,Steven Soderbergh,9,Schizopolis
Dennis Lim’s Top10,Barbara Loden,10,Wanda
Dennis Lim’s Top10,Agnès Varda,10,Vagabond
Jeremy Workman’s Top10,Mikhail Kalatozov,1,Letter Never Sent
Jeremy Workman’s Top10,Max Ophuls,2,Lola Montès
Jeremy Workman’s Top10,Errol Morris,3,The Thin Blue Line
Jeremy Workman’s Top10,Allen Baron,4,Blast of Silence
Jeremy Workman’s Top10,Gillo Pontecorvo,5,The Battle of Algiers 
Jeremy Workman’s Top10,Charles Laughton,6,The Night of the Hunter
Jeremy Workman’s Top10,Götz Spielmann,7,Revanche
Jeremy Workman’s Top10,Sidney Gilliat,8,Green for Danger
Jeremy Workman’s Top10,Roman Polanski,9,Macbeth
Jeremy Workman’s Top10,Godfrey Reggio,10,Koyaanisqatsi
Brian Raftery’s Top10,Alex Cox,1,Repo Man
Brian Raftery’s Top10,John Huston,2,The Asphalt Jungle
Brian Raftery’s Top10,Bob Fosse,3,All That Jazz
Brian Raftery’s Top10,Bob Rafelson,3,Head
Brian Raftery’s Top10,Carol Reed,4,The Third Man
Brian Raftery’s Top10,Susan Seidelman,5,Smithereens
Brian Raftery’s Top10,Spike Lee,6,Do the Right Thing
Brian Raftery’s Top10,Wim Wenders,7,The American Friend
Brian Raftery’s Top10,Alexander Payne,8,Election
Brian Raftery’s Top10,Spike Jonze,8,Being John Malkovich
Brian Raftery’s Top10,Steve James,9,Hoop Dreams
Brian Raftery’s Top10,Elaine May,10,Mikey and Nicky
Beak>’s Top10,Susan Seidelman,1,Smithereens
Beak>’s Top10,Andrei Tarkovsky,2,Stalker
Beak>’s Top10,David Cronenberg,3,Videodrome
Beak>’s Top10,Ingmar Bergman,4,Fanny and Alexander: Theatrical Version
Beak>’s Top10,Tony Richardson,5,A Taste of Honey
Beak>’s Top10,Nicolas Roeg,6,Don’t Look Now
Beak>’s Top10,Terry Gilliam,7,Time Bandits
Beak>’s Top10,Martin Rosen,8,Watership Down
Beak>’s Top10,Sidney Lumet,9,12 Angry Men
Beak>’s Top10,John Mackenzie,10,The Long Good Friday
Michael Imperioli’s Top10,John Cassavetes,1,A Woman Under the Influence
Michael Imperioli’s Top10,John Cassavetes,2,Opening Night
Michael Imperioli’s Top10,John Cassavetes,3,The Killing of a Chinese Bookie
Michael Imperioli’s Top10,Arthur Hiller,4,The In-Laws
Michael Imperioli’s Top10,Rainer Werner Fassbinder,5,Fox and His Friends
Michael Imperioli’s Top10,Pier Paolo Pasolini,6,Mamma Roma
Michael Imperioli’s Top10,Spike Lee,7,Do the Right Thing
Michael Imperioli’s Top10,John Schlesinger,8,Midnight Cowboy
Michael Imperioli’s Top10,Terry Gilliam,9,Brazil
Michael Imperioli’s Top10,Jules Dassin,10,Rififi
Lev Kalman’s Top10,Paul Morrissey,1,Blood for Dracula
Lev Kalman’s Top10,John Waters,2,Female Trouble
Lev Kalman’s Top10,John Cassavetes,3,The Killing of a Chinese Bookie
Lev Kalman’s Top10,Erle C. Kenton,4,Island of Lost Souls
Lev Kalman’s Top10,Preston Sturges,5,Unfaithfully Yours
Lev Kalman’s Top10,Jean Painlevé,6,Science Is Fiction: 23 Films by Jean Painlevé
Lev Kalman’s Top10,Wim Wenders,7,The American Friend
Lev Kalman’s Top10,David Lynch,8,Twin Peaks: Fire Walk with Me
Lev Kalman’s Top10,Whit Stillman,9,Barcelona
Lev Kalman’s Top10,Eric Rohmer,10,Suzanne’s Career
Christophe Honoré’s Top10,Jean-Luc Godard,1,Contempt
Christophe Honoré’s Top10,Orson Welles,2,The Magnificent Ambersons
Christophe Honoré’s Top10,Wong Kar-wai,3,Chungking Express
Christophe Honoré’s Top10,Jacques Demy,4,Lola
Christophe Honoré’s Top10,François Truffaut,5,Jules and Jim
Christophe Honoré’s Top10,Pier Paolo Pasolini,6,"Salò, or The 120 Days of Sodom"
Christophe Honoré’s Top10,Leo McCarey,7,The Awful Truth
Christophe Honoré’s Top10,Gus Van Sant,8,My Own Private Idaho
Christophe Honoré’s Top10,Jim Jarmusch,9,Mystery Train
Christophe Honoré’s Top10,Edward Yang,10,Yi Yi
Raúl Castillo’s Top10,John Cassavetes,1,A Woman Under the Influence
Raúl Castillo’s Top10,Alfonso Cuarón,2,Y tu mamá también 
Raúl Castillo’s Top10,Andrew Haigh,3,Weekend
Raúl Castillo’s Top10,Akira Kurosawa,4,Drunken Angel
Raúl Castillo’s Top10,Lynne Ramsay,5,Ratcatcher
Raúl Castillo’s Top10,Spike Lee,6,Do the Right Thing
Raúl Castillo’s Top10,Wong Kar-wai,7,In the Mood for Love
Raúl Castillo’s Top10,George A. Romero,8,Night of the Living Dead
Raúl Castillo’s Top10,Gus Van Sant,9,My Own Private Idaho
Raúl Castillo’s Top10,Luis Buñuel,10,The Discreet Charm of the Bourgeoisie
Karyn Kusama’s Top10,John Cassavetes,1,A Woman Under the Influence
Karyn Kusama’s Top10,Chantal Akerman,1,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles"
Karyn Kusama’s Top10,Roman Polanski,2,Rosemary’s Baby
Karyn Kusama’s Top10,Jack Clayton,2,The Innocents
Karyn Kusama’s Top10,Ingmar Bergman,3,Fanny and Alexander: Television Version
Karyn Kusama’s Top10,Todd Haynes,3,Safe
Karyn Kusama’s Top10,Akira Kurosawa,4,High and Low
Karyn Kusama’s Top10,Brian  De Palma,4,Blow Out
Karyn Kusama’s Top10,Robert Altman,5,Nashville
Karyn Kusama’s Top10,Bob Fosse,5,All That Jazz
Karyn Kusama’s Top10,James L. Brooks,6,Broadcast News
Karyn Kusama’s Top10,Jonathan Demme,6,Something Wild
Karyn Kusama’s Top10,Stanley Kubrick,7,Barry Lyndon
Karyn Kusama’s Top10,John Waters,7,Female Trouble
