Date,Session,Description
Mon. Jan 6,Class,Introductory class
Wed. Jan 8,Lab,Work on lab assignment #1
Mon. Jan 13,Class,"Data Science Reports; Research Questions; Data Wrangling, Data Scraping"
Wed. Jan 15,Lab,Work on lab assignment #2
Mon. Jan 20,Class,Exploratory Data Analysis
Wed. Jan 22,Lab,Work on lab assignments #3
Mon. Jan 27,Class,Data simulation and ethics
Wed. Jan 29,Lab,Work on lab assignment #4
Mon. Feb 3,Class,Guest Lecture: Javier Moreno (Shopify)
Wed. Feb 5,Lab,In-Lab Presentations (part of lab assignment #5)
Mon. Feb 10,Class,Communication
Wed. Feb 12,Lab,Work on lab assignment #6
Mon. Feb 17,No Class,Reading week
Wed. Feb 19,No Lab,Reading week
Mon. Feb 24,Lab,A2 Presentations
Wed. Feb 2,Class,Guest Lecture: Sidewalks Labs Numina <a href="https://docs.google.com/presentation/d/1YlKFfCbucveBl-wQYe0e9FU1JcqEW98RNLj3gJxDAqk/edit#slide=id.g6255ca6f20_0_62">slides</a>
Mon. Mar 2,Class,Prof. Nathan Tabak: Survival analysis
Wed. Mar 4,Lab,Work on lab assignment #7
Mon. Mar 9,Class,Guest Speaker: Robert Grant (University Health Network)
Wed. Mar 11,Lab,A3 Practice Lab
Mon. Mar 16,Class,Pitfalls in data science (Covid-19: pre-registered video)
Wed. Mar 18,Lab,A3 Project weekly critique session #1
Mon. Mar 23,Class,Multiverse analysis (Covid-19: pre-registered video)
Wed. Mar 25,Lab,A3 Project weekly critique session #2 
Mon. Mar 30,Class,Last Class: Wrap-up (Covid-19: A3 critique sessions debrief)
Wed. Apr 1,Lab,A3 Presentations (moved to Apr. 8)
