,actor,author,ranks,title
0,Pawel Pawlikowski’s Top10,Richard Lester,1,A Hard Day’s Night
1,Pawel Pawlikowski’s Top10,Billy Wilder,2,Some Like It Hot
2,Pawel Pawlikowski’s Top10,Andrzej Wajda,3,Ashes and Diamonds
3,Pawel Pawlikowski’s Top10,Terrence Malick,4,Badlands
4,Pawel Pawlikowski’s Top10,Terrence Malick,4,Days of Heaven
5,Pawel Pawlikowski’s Top10,Miloš Forman,5,Loves of a Blonde
6,Pawel Pawlikowski’s Top10,Jean-Luc Godard,6,Vivre sa vie
7,Pawel Pawlikowski’s Top10,Jean-Luc Godard,6,Pierrot le fou
8,Pawel Pawlikowski’s Top10,Maurice Pialat,7,À nos amours
9,Pawel Pawlikowski’s Top10,Andrei Tarkovsky,8,Ivan’s Childhood
10,Pawel Pawlikowski’s Top10,Federico Fellini,9,La dolce vita
11,Pawel Pawlikowski’s Top10,Federico Fellini,9,8½
12,Pawel Pawlikowski’s Top10,Federico Fellini,9,Amarcord
13,Pawel Pawlikowski’s Top10,David Lynch,10,Mulholland Dr.
0,​Jon Dieringer’s Top10,Susan Seidelman,1,Smithereens
1,​Jon Dieringer’s Top10,Felipe Cazals,2,Canoa: A Shameful Memory
2,​Jon Dieringer’s Top10,Alex Cox,3,Repo Man
3,​Jon Dieringer’s Top10,Paul Bartel,4,Eating Raoul
4,​Jon Dieringer’s Top10,David Lynch,5,Eraserhead
5,​Jon Dieringer’s Top10,Charles Laughton,6,The Night of the Hunter
6,​Jon Dieringer’s Top10,Víctor Erice,7,El Sur
7,​Jon Dieringer’s Top10,,8,Lone Wolf and Cub
8,​Jon Dieringer’s Top10,Larisa Shepitko,9,The Ascent
9,​Jon Dieringer’s Top10,Rainer Werner Fassbinder,10,Eight Hours Don’t Make a Day
0,Alice Rohrwacher’s Top10,Luis Buñuel,1,The Exterminating Angel
1,Alice Rohrwacher’s Top10,Luis Buñuel,1,Viridiana
2,Alice Rohrwacher’s Top10,Roberto Rossellini,2,Stromboli
3,Alice Rohrwacher’s Top10,Jean-Luc Godard,3,Breathless
